id,user_agent,times_seen,simple_software_string,simple_sub_description_string,simple_operating_platform_string,software,software_name,software_name_code,software_version,software_version_full,operating_system,operating_system_name,operating_system_name_code,operating_system_version,operating_system_version_full,operating_system_flavour,operating_system_flavour_code,operating_system_frameworks,operating_platform,operating_platform_code,operating_platform_vendor_name,software_type,software_sub_type,software_type_specific,hardware_type,hardware_sub_type,hardware_sub_sub_type,hardware_type_specific,layout_engine_name,layout_engine_version,extra_info,extra_info_dict,capabilities,detected_addons,first_seen_at,last_seen_at,updated_at
1910346,"Mozilla/5.0 (Linux; Android 8.1.0; I3312) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Mobile Safari/537.36",44,Chrome 70 on Android 8.1,,,Chrome 70,Chrome,chrome,70,70.0.3538.110,Android 8.1,Android,android,8.1,8.1.0,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},{},[],[],2019-05-04 00:00:00.000000,2019-09-26 00:00:00.000000,2019-06-03 20:37:09.410154
1897025,"Mozilla/5.0 (Linux; Android 8.1.0; I3312 Build/54.0.A.4.73) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.2 Chrome/67.0.3396.87 Mobile Safari/537.36",1,Samsung Browser 9.2 on Android 8.1,,,Samsung Browser 9.2,Samsung Browser,samsung-browser,9.2,9.2,Android 8.1,Android,android,8.1,8.1.0,,,[],,,,browser,web-browser,,mobile,,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""54.0.A.4.73""}",[],[],2019-05-16 00:00:00.000000,2019-05-16 00:00:00.000000,2019-06-03 19:15:07.426049
1860915,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-G903F Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",185,Samsung Browser 9.4 on Android (Marshmallow),,Samsung SM-G903F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android (Marshmallow),Android,android,Marshmallow,6.0.1,,,[],Samsung SM-G903F,SM-G903F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""MMB29K""}",[],[],2019-05-15 00:00:00.000000,2019-09-28 00:00:00.000000,2019-06-03 15:06:11.211339
1860917,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N910F Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",75,Samsung Browser 9.4 on Android (Marshmallow),,Samsung SM-N910F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android (Marshmallow),Android,android,Marshmallow,6.0.1,,,[],Samsung SM-N910F,SM-N910F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""MMB29M""}",[],[],2019-05-15 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-03 15:06:11.331120
1876070,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G935F/G935FXXS4ESC3 Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",13,Samsung Browser 9.4 on Android 8,,Samsung SM-G935F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8,Android,android,8,8.0.0,,,[],Samsung SM-G935F,SM-G935F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""R16NW""}",[],[],2019-05-16 00:00:00.000000,2019-09-15 00:00:00.000000,2019-06-03 16:50:03.695916
1918073,"Mozilla/5.0 (Linux; Android 7.0; Moto C Plus Build/NRD90M.02.034) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36",3,Chrome 62 on Android (Nougat),,,Chrome 62,Chrome,chrome,62,62.0.3202.84,Android (Nougat),Android,android,Nougat,7.0,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},"{""System Build"": ""NRD90M.02.034""}",[],[],2019-05-18 00:00:00.000000,2019-09-05 00:00:00.000000,2019-06-03 21:32:07.822667
2027554,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G960F/G960FXXU2BRJ3 Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",30,Samsung Browser 9.4 on Android 8,,Samsung SM-G960F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8,Android,android,8,8.0.0,,,[],Samsung SM-G960F,SM-G960F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""R16NW""}",[],[],2019-05-23 00:00:00.000000,2019-09-13 00:00:00.000000,2019-06-04 14:39:18.754084
1923792,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G925F/G925FXXU6ERF5 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",21,Samsung Browser 9.4 on Android (Nougat),,Samsung SM-G925F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android (Nougat),Android,android,Nougat,7.0,,,[],Samsung SM-G925F,SM-G925F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""NRD90M""}",[],[],2019-05-18 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-03 22:08:03.513402
1958848,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A600FN Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",58,Samsung Browser 9.4 on Android 8,,Samsung SM-A600FN,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8,Android,android,8,8.0.0,,,[],Samsung SM-A600FN,SM-A600FN,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""R16NW""}",[],[],2019-05-20 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-04 02:03:03.895955
2018163,"Mozilla/5.0 (Linux; Android 9; VOG-L09 Build/HUAWEIVOG-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 HuaweiBrowser/9.1.0.304 Mobile Safari/537.36",45,Chrome 63 on Android 9,,Huawei,Chrome 63,Chrome,chrome,63,63.0.3239.111,Android 9,Android,android,9,9,,,[],,,Huawei,browser,web-browser,,mobile,,,,Blink,[],{},"{""System Build"": ""HUAWEIVOG-L09""}",[],[],2019-05-22 00:00:00.000000,2019-09-25 00:00:00.000000,2019-06-04 12:13:22.789799
1934358,"Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-J530F Build/M1AJQ) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",566,Samsung Browser 9.4 on Android 8.1,,Samsung SM-J530F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8.1,Android,android,8.1,8.1.0,,,[],Samsung SM-J530F,SM-J530F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""M1AJQ""}",[],[],2019-05-18 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-03 23:17:03.564629
1946841,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-N950U1 Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",379,Samsung Browser 9.4 on Android 9,,Samsung SM-N950U1,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 9,Android,android,9,9,,,[],Samsung SM-N950U1,SM-N950U1,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""PPR1.180610.011""}",[],[],2019-05-19 00:00:00.000000,2019-09-19 00:00:00.000000,2019-06-04 00:46:06.127921
1967703,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A320F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",130,Samsung Browser 9.4 on Android 8,,Samsung SM-A320F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8,Android,android,8,8.0.0,,,[],Samsung SM-A320F,SM-A320F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""R16NW""}",[],[],2019-05-20 00:00:00.000000,2019-09-17 00:00:00.000000,2019-06-04 03:04:10.279532
2008385,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-T805 Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Safari/537.36",30,Samsung Browser 9.4 on Android (Marshmallow),,"Samsung Galaxy Tab S 10.5"" (SM-T805)",Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android (Marshmallow),Android,android,Marshmallow,6.0.1,,,[],"Galaxy Tab S 10.5""",SM-T805,Samsung,browser,web-browser,,mobile,tablet,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""MMB29K""}",[],[],2019-05-22 00:00:00.000000,2019-09-20 00:00:00.000000,2019-06-04 10:02:29.546109
2049405,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-T830 Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Safari/537.36",137,Samsung Browser 9.4 on Android 9,,Samsung SM-T830,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 9,Android,android,9,9,,,[],Samsung SM-T830,SM-T830,Samsung,browser,web-browser,,mobile,tablet,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""PPR1.180610.011""}",[],[],2019-05-25 00:00:00.000000,2019-09-20 00:00:00.000000,2019-06-04 20:09:15.914867
2030422,"Mozilla/5.0 (Linux; Android 6.0; EVA-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",12,Chrome 71 on Android (Marshmallow),,,Chrome 71,Chrome,chrome,71,71.0.3578.99,Android (Marshmallow),Android,android,Marshmallow,6.0,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},{},[],[],2019-05-25 00:00:00.000000,2019-09-28 06:45:10.000000,2019-06-04 15:27:19.185811
2049079,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.80 Safari/537.36",20980,Chrome 75 on Windows 10,,,Chrome 75,Chrome,chrome,75,75.0.3770.80,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2019-06-04 00:00:00.000000,2019-09-28 12:00:25.424931,2019-06-04 20:01:44.154145
2096304,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.80 Safari/537.36",1246,Chrome 75 on Windows 8.1,,,Chrome 75,Chrome,chrome,75,75.0.3770.80,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2019-06-04 00:00:00.000000,2019-09-28 04:15:24.000000,2019-06-05 07:01:03.301885
2052260,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.80 Safari/537.36",4834,Chrome 75 on Windows 7,,,Chrome 75,Chrome,chrome,75,75.0.3770.80,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008 R2"", ""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2019-06-04 00:00:00.000000,2019-09-28 12:00:24.764910,2019-06-04 21:01:12.864490
2054208,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0,420,Firefox 69 on Windows 8,,,Firefox 69,Firefox,firefox,69,69.0,Windows 8,Windows,windows,8,NT 6.2,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2019-05-25 00:00:00.000000,2019-09-28 11:01:08.810611,2019-06-04 21:15:14.532781
2074443,"Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-G390F Build/M1AJQ) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",79,Samsung Browser 9.4 on Android 8.1,,Samsung SM-G390F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8.1,Android,android,8.1,8.1.0,,,[],Samsung SM-G390F,SM-G390F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""M1AJQ""}",[],[],2019-05-28 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-05 00:32:08.539941
2080083,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A105FN Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.0 Chrome/67.0.3396.87 Mobile Safari/537.36",35,Samsung Browser 9 on Android 9,,Samsung SM-A105FN,Samsung Browser 9,Samsung Browser,samsung-browser,9,9.0,Android 9,Android,android,9,9,,,[],Samsung SM-A105FN,SM-A105FN,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""PPR1.180610.011""}",[],[],2019-05-28 00:00:00.000000,2019-09-27 22:00:13.000000,2019-06-05 01:18:03.597416
2072607,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-J600FN Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",48,Samsung Browser 9.4 on Android 8,,Samsung SM-J600FN,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8,Android,android,8,8.0.0,,,[],Samsung SM-J600FN,SM-J600FN,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""R16NW""}",[],[],2019-05-27 00:00:00.000000,2019-09-27 21:00:01.000000,2019-06-05 00:10:08.665993
2072910,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",42,Chrome 73 on macOS (Mojave),,,Chrome 73,Chrome,chrome,73,73.0.3683.86,macOS (Mojave),macOS,macos,Mojave,10.14.6,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2019-05-27 00:00:00.000000,2019-09-19 00:00:00.000000,2019-06-05 00:13:04.075448
2074392,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-T813 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Safari/537.36",258,Samsung Browser 9.4 on Android (Nougat),,"Samsung Galaxy Tab S2 9.7"" (SM-T813)",Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android (Nougat),Android,android,Nougat,7.0,,,[],"Galaxy Tab S2 9.7""",SM-T813,Samsung,browser,web-browser,,mobile,tablet,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""NRD90M""}",[],[],2019-05-28 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-05 00:32:05.784379
2085795,"Mozilla/5.0 (Linux; Android 5.1; HUAWEI LYO-L01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36",27,Chrome 73 on Android (Lollipop),,Huawei,Chrome 73,Chrome,chrome,73,73.0.3683.90,Android (Lollipop),Android,android,Lollipop,5.1,,,[],,,Huawei,browser,web-browser,,mobile,,,,Blink,[],{},{},[],[],2019-05-02 00:00:00.000000,2019-09-28 05:46:49.000000,2019-06-05 02:18:03.866101
2094517,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G935F/G935FXXU5ESD2 Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",62,Samsung Browser 9.4 on Android 8,,Samsung SM-G935F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8,Android,android,8,8.0.0,,,[],Samsung SM-G935F,SM-G935F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""R16NW""}",[],[],2019-06-03 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-05 05:58:06.829555
2213492,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.80 Safari/537.36",73,Chrome 75 on macOS (Mojave),,,Chrome 75,Chrome,chrome,75,75.0.3770.80,macOS (Mojave),macOS,macos,Mojave,10.14.6,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2019-06-05 00:00:00.000000,2019-09-28 00:00:00.000000,2019-06-06 10:05:13.388302
2194931,"Mozilla/5.0 (Linux; Android 9; HRY-LX1 Build/HONORHRY-L21) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",11,Samsung Browser 9.4 on Android 9,,,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 9,Android,android,9,9,,,[],,,,browser,web-browser,,mobile,,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""HONORHRY-L21""}",[],[],2019-06-04 00:00:00.000000,2019-08-30 09:00:04.000000,2019-06-06 02:47:02.530492
2194637,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",275,Webkit based browser on iOS 13,,Apple iPhone,Webkit based browser,Webkit based browser,webkit-based-browser,,,iOS 13,iOS,ios,13,13.0,,,[],iPhone,,Apple,browser,web-browser,,mobile,phone,,,WebKit,"[""605"", ""1"", ""15""]",{},"{""Mobile Build"": ""15E148""}",[],[],2019-06-04 00:00:00.000000,2019-09-28 00:00:00.000000,2019-06-06 02:30:03.692766
2204246,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-A105FN Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.2 Chrome/67.0.3396.87 Mobile Safari/537.36",37,Samsung Browser 9.2 on Android 9,,Samsung SM-A105FN,Samsung Browser 9.2,Samsung Browser,samsung-browser,9.2,9.2,Android 9,Android,android,9,9,,,[],Samsung SM-A105FN,SM-A105FN,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""PPR1.180610.011""}",[],[],2019-06-04 00:00:00.000000,2019-09-28 00:15:05.000000,2019-06-06 05:44:12.186692
2271672,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0 Safari/605.1.15",7242,Safari 13 on macOS (Mojave),,,Safari 13,Safari,safari,13,13.0,macOS (Mojave),macOS,macos,Mojave,10.14.6,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""605"", ""1"", ""15""]",{},{},[],[],2019-06-09 16:00:19.973938,2019-09-29 00:00:11.045396,2019-06-09 16:01:02.702132
2242740,"Mozilla/5.0 (Linux; U; Android 8.1.0; en-gb; Redmi Note 5 Build/OPM1.171019.011) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/61.0.3163.128 Mobile Safari/537.36 XiaoMi/MiuiBrowser/10.8.3-g",15,Chrome 61 on Android 8.1,,,Chrome 61,Chrome,chrome,61,61.0.3163.128,Android 8.1,Android,android,8.1,8.1.0,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},"{""System Build"": ""OPM1.171019.011""}",[],[],2019-06-07 00:00:00.000000,2019-08-17 01:43:54.000000,2019-06-08 01:10:04.190351
2330602,"Mozilla/5.0 (Linux; Android 7.0; EVA-L09 Build/HUAWEIEVA-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.141 Mobile Safari/537.36 OPR/45.1.2246.125351",2,Opera 45.1 on Android (Nougat),,Huawei,Opera 45.1,Opera,opera,45.1,45.1.2246.125351,Android (Nougat),Android,android,Nougat,7.0,,,[],,,Huawei,browser,web-browser,,mobile,,,,Blink,[],{},"{""System Build"": ""HUAWEIEVA-L09""}",[],[],2019-06-10 00:00:00.000000,2019-06-10 00:00:00.000000,2019-06-11 02:51:10.881782
2301557,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-J320FN Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",84,Samsung Browser 9.4 on Android (Lollipop),,Samsung SM-J320FN,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android (Lollipop),Android,android,Lollipop,5.1.1,,,[],Samsung SM-J320FN,SM-J320FN,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""LMY47V""}",[],[],2019-06-09 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-10 04:23:09.661426
2311855,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1",40533,Safari 12.1 on iOS 12.3,,Apple iPhone,Safari 12.1,Safari,safari,12.1,12.1.1,iOS 12.3,iOS,ios,12.3,12.3.2,,,[],iPhone,,Apple,browser,web-browser,,mobile,phone,,,WebKit,"[""605"", ""1"", ""15""]",{},"{""Mobile Build"": ""15E148""}",[],[],2019-06-10 00:00:00.000000,2019-09-29 00:00:29.568734,2019-06-10 22:01:02.306125
2352400,"Mozilla/5.0 (Linux; Android 9; J8110) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.67 Mobile Safari/537.36",6,Chrome 75 on Android 9,,,Chrome 75,Chrome,chrome,75,75.0.3770.67,Android 9,Android,android,9,9,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},{},[],[],2019-06-10 00:00:00.000000,2019-06-19 15:09:39.000000,2019-06-11 04:53:03.302654
2359721,"Mozilla/5.0 (Linux; Android 7.1.1; F8331) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36",2,Chrome 73 on Android (Nougat),,,Chrome 73,Chrome,chrome,73,73.0.3683.75,Android (Nougat),Android,android,Nougat,7.1.1,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},{},[],[],2019-06-11 12:38:20.000000,2019-06-11 12:38:20.000000,2019-06-11 13:16:07.731958
2371542,"Mozilla/5.0 (Linux; Android 9; SAMSUNG SM-G950F/G950FXXU4DSE4 Build/PPR1.180610.011) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36",48,Samsung Browser 9.4 on Android 9,,Samsung SM-G950F,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 9,Android,android,9,9,,,[],Samsung SM-G950F,SM-G950F,Samsung,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""PPR1.180610.011""}",[],[],2019-06-11 00:00:00.000000,2019-09-27 23:30:34.000000,2019-06-12 02:02:05.840789
2367332,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/70.0.3538.75 Mobile/15E148 Safari/605.1",31,Chrome 70 on iOS 12.4,,Apple iPhone,Chrome 70,Chrome,chrome,70,70.0.3538.75,iOS 12.4,iOS,ios,12.4,12.4,,,[],iPhone,,Apple,browser,web-browser,,mobile,phone,,,WebKit,"[""605"", ""1"", ""15""]",{},"{""Mobile Build"": ""15E148""}",[],[],2019-06-11 00:00:00.000000,2019-09-27 00:00:00.000000,2019-06-12 01:33:10.162130
2399645,"Mozilla/5.0 (Linux; Android 9; Pixel 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.89 Mobile Safari/537.36",92,Chrome 75 on Android 9,,,Chrome 75,Chrome,chrome,75,75.0.3770.89,Android 9,Android,android,9,9,,,[],,,,browser,web-browser,,mobile,,,,Blink,[],{},{},[],[],2019-06-13 00:00:00.000000,2019-09-28 02:30:03.000000,2019-06-13 09:05:04.512196
2379333,"Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-T595 Build/M1AJQ) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Safari/537.36",26,Samsung Browser 9.4 on Android 8.1,,Samsung SM-T595,Samsung Browser 9.4,Samsung Browser,samsung-browser,9.4,9.4,Android 8.1,Android,android,8.1,8.1.0,,,[],Samsung SM-T595,SM-T595,Samsung,browser,web-browser,,mobile,tablet,,,WebKit,"[""537"", ""36""]",{},"{""System Build"": ""M1AJQ""}",[],[],2019-06-12 06:23:20.000000,2019-09-27 21:00:01.000000,2019-06-12 06:26:06.988178
2385706,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",93,Chrome 71 on macOS (Mojave),,,Chrome 71,Chrome,chrome,71,71.0.3578.98,macOS (Mojave),macOS,macos,Mojave,10.14.6,,,[],,,,browser,web-browser,,computer,,,,Blink,[],{},{},[],[],2019-06-12 00:00:00.000000,2019-09-26 00:00:00.000000,2019-06-13 01:46:08.866981
2399379,Mozilla/5.0 (Windows NT 6.1; rv:69.0) Gecko/20100101 Firefox/69.0,2694,Firefox 69 on Windows 7,,,Firefox 69,Firefox,firefox,69,69.0,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2019-06-13 00:00:00.000000,2019-09-29 00:00:48.638397,2019-06-13 08:01:02.620140
2399664,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.90 Safari/537.36",10557,Chrome 75 on Windows 10,,,Chrome 75,Chrome,chrome,75,75.0.3770.90,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2019-06-13 00:00:00.000000,2019-09-28 04:00:57.788340,2019-06-13 09:05:05.580124
